"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
2788;"Holger Hoos";"Professor of Computer Science, Leiden University & University of British Columbia";23694;"ParamILS: an automatic algorithm configuration framework";"2009";738;"Frank Hutter and Holger H Hoos and Kevin Leyton-Brown and Thomas Stützle";"https://www.jair.org/index.php/jair/article/download/10628/25415/"
2789;"Jes Olesen";"Professor i Neurologi";74403;"The International Classification of Headache Disorders, 2nd Edition (ICHD-II)—-Revision of Criteria for 8.2 Medication-Overuse Headache";"2005";360;"Stephen D Silberstein and J Olesen and MG Bousser and HC Diener and D Dodick and M First and PJ Goadsby and H Göbel and MJA Lainez and JW Lance and Richard B Lipton and G Nappi and F Sakai and Jean Schoenen and TJ Steiner and International Headache Society";"https://www.ichd-3.org/wp-content/uploads/2016/08/Revision-of-criteria-8.2-MOH.pdf"
2790;"Alexandre Megiorin Roma";"Instituto de Matemática e Estatística, Universidade de São Paulo";956;"A fully adaptive front tracking method for the simulation of two phase flows";"2014";34;"Márcio Ricardo Pivello and Millena Martins Villar and Ricardo Serfaty and Alexandre Megiorin Roma and Aristeu da Silveira-Neto";""
2791;"Yen-Da Chen (陳彥達)";"Department of Computer Information and Network Engineering Lunghwa University of Science and";149860;"Measurement of the Z/ γ* boson transverse momentum distribution in pp collisions at  TeV with the ATLAS detector";"2014";3609;"Georges Aad and Brad Abbott and Jalal Abdallah and S Abdel Khalek and O Abdinov and Rosemarie Aben and Babak Abi and Maris Abolins and OS AbouZeid and Halina Abramowicz and H Abreu and R Abreu and Y Abulaiti and BS Acharya and L Adamczyk and DL Adams and J Adelman and Stefanie Adomeit and T Adye and T Agatonovic-Jovin and JA Aguilar-Saavedra and M Agustoni and SP Ahlen and F Ahmadov and G Aielli and H Akerstedt and TPA Åkesson and G Akimoto and AV Akimov and GL Alberghi and J Albert and S Albrand and MJ Alconada Verzini and M Aleksa and IN Aleksandrov and C Alexa and G Alexander and G Alexandre and T Alexopoulos and M Alhroob and G Alimonti and L Alio and J Alison and BMM Allbrooke and LJ Allison and PP Allport and J Almond and A Aloisio and A Alonso and F Alonso and C Alpigiani and A Altheimer and B Alvarez Gonzalez and MG Alviggi and K Amako and Y Amaral Coutinho and C Amelung and D Amidei and SP Amor Dos Santos and A Amorim and S Amoroso and N Amram and G Amundsen and C Anastopoulos and LS Ancu and N Andari and T Andeen and CF Anders and G Anders and KJ Anderson and A Andreazza and V Andrei and XS Anduaga and S Angelidakis and I Angelozzi and P Anger and A Angerami and F Anghinolfi and AV Anisenkov and N Anjos and A Annovi and A Antonaki and M Antonelli and A Antonov and J Antos and F Anulli and M Aoki and L Aperio Bella and R Apolle and G Arabidze and I Aracena and Y Arai and JP Araque and ATH Arce and JF Arguin and S Argyropoulos and M Arik and AJ Armbruster and O Arnaez and V Arnal and H Arnold and M Arratia and O Arslan and A Artamonov and G Artoni and S Asai and N Asbah and A Ashkenazi and B Åsman and L Asquith and K Assamagan and R Astalos and M Atkinson and NB Atlay and B Auerbach and K Augsten and M Aurousseau and G Avolio and G Azuelos and Y Azuma and MA Baak and C Bacci and H Bachacou and K Bachas and M Backes and M Backhaus and J Backus Mayes and E Badescu and P Bagiacchi and P Bagnaia and Y Bai and T Bain and JT Baines and OK Baker and S Baker and P Balek and F Balli and E Banas and SW Banerjee and AAE Bannoura and V Bansal and HS Bansil and L Barak and SP Baranov and EL Barberio and D Barberis and M Barbero and T Barillari and M Barisonzi and T Barklow";"https://link.springer.com/article/10.1007/JHEP09(2014)145"
2792;"Titilayo Fashemi";"Brigham and Women Hospital";154;"Correlates of circulating ovarian cancer early detection markers and their contribution to discrimination of early detection models: results from the EPIC cohort";"2017";5;"Renée T Fortner and Allison F Vitonis and Helena Schock and Anika Hüsing and Theron Johnson and Raina N Fichorova and Titilayo Fashemi and Hidemi S Yamamoto and Anne Tjønneland and Louise Hansen and Kim Overvad and Marie-Christine Boutron-Ruault and Marina Kvaskoff and Gianluca Severi and Heiner Boeing and Antonia Trichopoulou and Vassiliki Benetou and Carlo La Vecchia and Domenico Palli and Sabina Sieri and Rosario Tumino and Giuseppe Matullo and Amalia Mattiello and N Charlotte Onland-Moret and Petra H Peeters and Elisabete Weiderpass and Inger Torhild Gram and Mie Jareid and J Ramón Quirós and Eric J Duell and Maria-Jose Sánchez and María Dolores Chirlaque and Eva Ardanaz and Nerea Larrañaga and Björn Nodin and Jenny Brändstedt and Annika Idahl and Kay-Tee Khaw and Naomi Allen and Marc Gunter and Mattias Johansson and Laure Dossus and Melissa A Merritt and Elio Riboli and Daniel W Cramer and Rudolf Kaaks and Kathryn L Terry";"https://ovarianresearch.biomedcentral.com/articles/10.1186/s13048-017-0315-6"
2793;"Li-Wei Ko";"National Chiao Tung University";2858;"An online brain-computer interface based on SSVEPs measured from non-hair-bearing areas";"2016";18;"Yu-Te Wang and Masaki Nakanishi and Yijun Wang and Chun-Shu Wei and Chung-Kuan Cheng and Tzyy-Ping Jung";"https://cloudfront.escholarship.org/dist/prd/content/qt0f34k44w/qt0f34k44w.pdf"
2794;"Nicolas Le Poul";"CNRS Researcher, UMR 6521, University of Brest, France";720;"Determination of heterogeneous electron-transfer kinetics of decamethylferrocene at low temperatures (120 K< T< 200 K) by ac impedance";"2006";1;"Nicolas Le Poul and Stephen J Green and Yves Le Mest";""
2795;"Ruey-Bing Yang";"Institute of Biomedical Sciences, Academia Sinica";10413;"Sef is an inhibitor of proinflammatory cytokine signaling, acting by cytoplasmic sequestration of NF-κB";"2012";21;"Yaron Fuchs and Michal Brunwasser and Sasha Haif and Jumana Haddad and Boris Shneyer and Orit Goldshmidt-Tran and Lina Korsensky and Mona Abed and Simona Zisman-Rozen and Lilach Koren and Yaron Carmi and Ron Apte and Ruey-Bing Yang and Amir Orian and Jacob Bejar and Dina Ron";"https://www.sciencedirect.com/science/article/pii/S1534580712003322"
2796;"Jacques andre astolfi";"Unknown affiliation";1103;"Numerical Analysis of Hydrofoil Dynamics by Using a Fluid-Structure Interaction Approach";"2012";3;"Tolotra Emerry Rajaomazava and Mustapha Benaouicha and Jacques-André Astolfi";""
2797;"Hanan Tork";"Assist. Professor of pediatric Nursing, Qassim University";131;"Compliance with standard precautions during clinical training of nursing students in Saudi Arabia: A multi-university study";"2018";2;"Farhan Alshammari and Jonas Preposi Cruz and Nahed Alquwez and Joseph Almazan and Fatmah Alsolami and Hanan Tork and Hawa Alabdulaziz and Ebaa Marwan Felemban";"https://jidc.org/index.php/journal/article/download/10821/1965/"
2798;"Patrick Keyzer";"Professor of Law, La Trobe University";479;"Judicial Independence in the Northern Territory: Are Undisclosed Remuneration Arrangements Repugnant to Chapter III of the Constitution";"1970";8;"Patrick Keyzer";""
2799;"Javid Gaziev";"BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha";3221;"A three or more drug combination as effective therapy for moderate or severe chronic graft-versus-host disease.";"1970";18;"Djavid Gaziev and Guido Lucarelli and Paola Polchi and Emanuele Angelucci and Mariella Galimberti and Claudio Giardini and Donatella Baronciani and Buket Erer and Pietro and Sodani";"https://www.researchgate.net/profile/Paola_Polchi2/publication/12088689_A_three_or_more_drug_combination_as_effective_therapy_for_moderate_or_severe_chronic_graft-versus-host_disease/links/0a85e5315f123bc69d000000.pdf"
2800;"Ehsan Ahmadi";"Ialamic Azad university, Lenjan Branch, Esfahan, Iran";1211;"Collapse capacity of soil‐structure systems under pulse‐like earthquakes";"2015";8;"Faramarz Khoshnoudian and Ehsan Ahmadi and Mahdi Kiani and Mohammad Hadikhan Tehrani";""
2801;"Chien Hung Lai (賴建宏)";"Chung Yuan";31145;"Optical Doppler tomographic imaging of fluid flow velocity in highly scattering media";"1997";716;"Zhongping Chen and Thomas E Milner and Digant Dave and J Stuart Nelson";"https://cloudfront.escholarship.org/dist/prd/content/qt491538ds/qt491538ds.pdf"
2802;"Dennis A. Bazylinski";"University of Nevada at Las Vegas";14521;"South-seeking magnetotactic bacteria in the Northern Hemisphere";"2006";114;"Sheri L Simmons and Dennis A Bazylinski and Katrina J Edwards";"https://www.researchgate.net/profile/Katrina_Edwards/publication/7349086_South-Seeking_Magnetotactic_Bacteria_in_the_Northern_Hemisphere/links/0fcfd50b035262003c000000/South-Seeking-Magnetotactic-Bacteria-in-the-Northern-Hemisphere.pdf"
2803;"stefano ricagno";"professor of biochemistry, University of Milan";1611;"CtBP1/BARS Gly172→ Glu mutant structure: impairing NAD (H)-binding and dimerization";"2009";12;"Marco Nardini and Carmen Valente and Stefano Ricagno and Alberto Luini and Daniela Corda and Martino Bolognesi";""
2804;"Milena Tsvetkova";"London School of Economics and Political Science";283;"The effect of gossip on social networks";"2011";22;"Allison K Shaw and Milena Tsvetkova and Roozbeh Daneshvar";"https://onlinelibrary.wiley.com/doi/pdf/10.1002/cplx.20334"
2805;"Sarah Richardson";"Ecologist, Landcare Research, New Zealand";4213;"N and P in New Zealand soil chronosequences and relationships with foliar N and P";"2005";89;"RL Parfitt and DJ Ross and DA Coomes and SJ Richardson and MC Smale and Randy A Dahlgren";""
2806;"Robert Kennicutt";"Professor of Astronomy, University of Cambridge";60140;"Calibrating extinction-free star formation rate diagnostics with 33 GHz free-free emission in NGC 6946";"2011";448;"EJ Murphy and JJ Condon and E Schinnerer and RC Kennicutt and D Calzetti and L Armus and G Helou and JL Turner and G Aniano and P Beirão and AD Bolatto and BR Brandl and KV Croxall and DA Dale and JL Donovan Meyer and Bruce T Draine and C Engelbracht and LK Hunt and C-N Hao and J Koda and H Roussel and R Skibba and J-DT Smith";"https://arxiv.org/pdf/1105.4877"
2807;"Jennifer E Johnson";"Michigan State University";2886;"Associations between past trauma, current social support, and loneliness in incarcerated populations";"2014";12;"Jennifer C Kao and Adam Chuong and Madhavi K Reddy and Robyn L Gobin and Caron Zlotnick and Jennifer E Johnson";"https://www.biomedcentral.com/openurl?doi=10.1186/2194-7899-2-7"
2808;"Hideaki Yoshimura";"The University of Tokyo";528;"Monitoring of RNA dynamics in living cells using PUM-HD and fluorescent protein reconstitution technique";"2016";4;"H Yoshimura and T Ozawa";""
2809;"Loay Saeed";"Project Researcher, D.Sc. (Tech), Åbo Akademi University, Laboratory of Thermal and Flow Engineering";170;"Slow pyrolysis of different PVC types in a bubbling fluidized bed: stabilizer effects";"2004";11;"Loay Saeed and Antti Tohka and Matti Haapala and Ron Zevenhoven";""
2810;"Ralf Wimmer";"University of Freiburg, Germany and Concept Engineering GmbH, Freiburg, Germany";905;"Dependency Schemes for DQBF";"2016";6;"Ralf Wimmer and Christoph Scholl and Karina Wimmer and Bernd Becker";"http://abs.informatik.uni-freiburg.de/papers/2016/WSW+_2016.pdf"
2811;"Andrey Afanasyev";"Leading researcher, Institute of Mechanics, Moscow State University";241;"Математическая модель неизотермической многофазной фильтрации бинарной смеси";"1970";5;"АА Афанасьев";""
2812;"Song-Ping Zhu";"Professor of Mathematics, University of Wollongong, Australia";2497;"Subcritical, transcritical and supercritical flows over a step";"1997";15;"Yinglong Zhang and Songping Zhu";"http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1428&context=infopapers"
2813;"Hyo-Jong Lee";"Dong-A University";709;"Free standing GaN layers with GaN nanorod buffer layer";"2007";2;"HJ Lee and SW Lee and H Goto and Hyo‐Jong Lee and JS Ha and MW Cho and T Yao";""
2814;"Dr. Hanumesh Vaidya";"Associate Professor, Department of Studies in Mathematics, Vijayanagara Sri Krishnadevaraya";226;"Analytical study of Cattaneo-Christov heat flux model for Williamson-nanofluid flow over a slender elastic sheet with variable thickness";"2018";8;"KV Prasad and Hanumesh Vaidya and K Vajravelu and V Ramanjini";""
2815;"M. Harrison";"Language Learning Books Author";41465;"Stack automata and compiling";"1967";149;"Seymour Ginsburg and Sheila A Greibach and Michael A Harrison";""
2816;"Honglei Xu";"Curtin University";892;"An artificial bee colony algorithm with guide of global & local optima and asynchronous scaling factors for numerical optimization";"2015";29;"Jianjun Liu and Hongqiu Zhu and Qiang Ma and Lanlan Zhang and Honglei Xu";""
2817;"Ronald K. Vogel";"Professor, Ryerson University";1885;"Redefining community in a global city: Tokyo metropolitan government in the 21st century";"1970";2;"RK Vogel";""
2818;"Todd D Ringler";"Scientist, Los Alamos National Laboratory";2481;"Momentum, vorticity and transport: Considerations in the design of a finite-volume dynamical core";"1970";9;"Todd D Ringler";"https://www.researchgate.net/file.PostFileLoader.html?id=54ee6e34d685cc3b738b4568&assetKey=AS:273561657249796@1442233590688#page=161"
2819;"Ming-June Tsai";"National Cheng Kung University";1403;"The preparation of alumina fibre by sol-gel processing";"1994";46;"YH Chiou and MT Tsai and HC Shih";""
2820;"Anthony Milner";"Australian national university";2452;"'Asia'Consciousness and Asian Values";"1970";6;"Anthony Milner";"https://openresearch-repository.anu.edu.au/bitstream/1885/41906/1/cons_vals.html"
2821;"Jian-Sheng Wang";"Department of Physics, National University of Singapore";14812;"A review on the flexural mode of graphene: lattice dynamics, thermal conduction, thermal expansion, elasticity and nanomechanical resonance";"2015";76;"Jin-Wu Jiang and Bing-Shen Wang and Jian-Sheng Wang and Harold S Park";"https://arxiv.org/pdf/1408.1450"
2822;"Romain Guilhaumou";"Pharmacologie, APHM";155;"Amikacin in critically ill patients: a review of population pharmacokinetic studies";"2017";19;"Amélie Marsot and Romain Guilhaumou and Camille Riff and Olivier Blin";""
2823;"Xudong Wang";"university of Wisconsin Madison";18325;"Ferroelectric polarization-enhanced photoelectrochemical water splitting in TiO2–BaTiO3 core–shell nanowire photoanodes";"2015";131;"Weiguang Yang and Yanhao Yu and Matthew B Starr and Xin Yin and Zhaodong Li and Alexander Kvit and Shifa Wang and Ping Zhao and Xudong Wang";"https://nanoscience.engr.wisc.edu/paper/2015/15_NL_1.pdf"
2824;"Christopher Jarrold";"Professor in Cognitive Development";10480;"What Limits Working Memory Capacity?";"2016";84;"K Oberauer and S Farrell and C Jarrold and S Lewandowsky";"https://pdfs.semanticscholar.org/9f21/a6070b69f3bfe189b382ca75c2bbf3b8812f.pdf"
2825;"Yaroslav Kudryavtsev";"Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow";1029;"Phase separation effects and the nematic–isotropic transition in polymer and low molecular weight liquid crystals doped with nanoparticles";"1970";36;"Maxim V Gorkunov and Georgiy A Shandryuk and Alina M Shatalova and Irina Yu Kutergina and Alexey S Merekalov and Yaroslav V Kudryavtsev and Raisa V Talroze and Mikhail A Osipov";"https://strathprints.strath.ac.uk/47172/1/C3SM27467E.pdf"
